time,lot_code,taxonomic_group,specimen_count,collection_event_code,date_collected_start,date_collected_end,parent_lot,num_morpho_spp,num_bark_beetle_specimens,trap,site_name,num_weevils_spp,num_bark_beetles_spp
2016-04-01,,Anthribidae,0,,3/17/16,3/31/16,,0,,S0068,Nago,,
2016-04-15,,Anthribidae,0,,3/31/16,4/14/16,,0,,S0068,Nago,,
2016-05-01,,Anthribidae,0,,4/14/16,4/28/16,,0,,S0068,Nago,,
2016-03-15,LOT025007,Anthribidae,1,OK00891,3/3/16,3/17/16,,1,,S0069,Nago,,
2016-04-01,,Anthribidae,0,,3/17/16,3/31/16,,0,,S0069,Nago,,
2016-04-15,,Anthribidae,0,,3/31/16,4/14/16,,0,,S0069,Nago,,
2016-05-01,LOT025011,Anthribidae,13,OK01198,4/14/16,4/28/16,,2,,S0069,Nago,,
2016-03-15,,Anthribidae,0,,3/3/16,3/17/16,,0,,S0070,Nago,,
2016-04-01,,Anthribidae,0,,3/17/16,3/31/16,,0,,S0070,Nago,,
2016-04-15,,Anthribidae,0,,3/31/16,4/14/16,,0,,S0070,Nago,,
2016-05-01,,Anthribidae,0,,4/14/16,4/28/16,,0,,S0070,Nago,,
